Genus,T-statistic,P-value
Acaulospora,-3.6029549765291944,0.0020337860149069013
Claroideoglomus,1.6869096788687226,0.10887393003778979
Diversispora,3.1174609397371515,0.005947649539706236
Dominikia,2.5083449619635627,0.02192421015430639
Funneliformis,0.40654544122917935,0.6891348787345885
Geosiphon,0.007290761936881122,0.9942630621977335
Gigaspora,-1.280445616657525,0.2166432906872237
Kamienskia,-0.9424163356518209,0.3584573054234489
Paraglomus,-2.0281721746916967,0.05760595331940136
Rhizophagus ,-5.0759266281081485,7.879528946579287e-05
Sclerocystis,-0.5387476194810482,0.5966617184367318
